Chord,Fixed_Chord,Total_Count,billboard,ireal-pro,isophonics,weimar-jazz
Bb:maj6,Bb:maj6,884,95,639,11,139
Eb:maj6,Eb:maj6,844,32,737,7,68
Gb:7,Gb:7,797,203,335,9,250
Bb:min,Bb:min,791,389,263,81,58
D:maj/5,D:maj/5,762,636,126,0,0
Ab:min7,Ab:min7,750,145,492,2,111
A:hdim7,A:hdim7,747,1,539,0,207
D:hdim7,D:hdim7,701,46,450,0,205
A:maj7,A:maj7,654,146,446,2,60
E:hdim7,E:hdim7,647,5,486,0,156
Eb:min,Eb:min,643,319,275,17,32
F,F:maj,593,0,0,593,0
E:maj7,E:maj7,579,102,406,15,56
D:7(b9),D:7(b9),577,3,574,0,0
G:hdim7,G:hdim7,562,6,394,0,162
G:maj6,G:maj6,543,66,417,16,44
E:min9,E:min9,539,237,293,3,6
B:hdim7,B:hdim7,537,5,465,0,67
C:7(b9),C:7(b9),533,2,530,1,0
B,B:maj,530,0,0,530,0
Gb:maj7,Gb:maj7,517,86,370,1,60
C:sus4,C:sus4,511,350,96,8,57
B:maj7,B:maj7,509,93,340,6,70
F:maj/3,F:maj/3,507,317,172,0,18
G#:min7,G#:min7,504,199,293,12,0
Ab:maj6,Ab:maj6,494,83,311,6,94
G:7(b9),G:7(b9),482,6,476,0,0
G:5,G:5,481,481,0,0,0
D:maj/3,D:maj/3,477,248,220,0,9
A:7(b9),A:7(b9),474,13,461,0,0
G#:min,G#:min,466,189,209,68,0
F:maj/5,F:maj/5,448,350,94,0,4
A:maj/5,A:maj/5,427,266,161,0,0
D:5,D:5,416,416,0,0,0
A:5,A:5,414,414,0,0,0
Bb,Bb:maj,411,0,0,411,0
C:maj/5,C:maj/5,406,273,125,0,8
E:maj/3,E:maj/3,406,307,99,0,0
E:7(b9),E:7(b9),395,27,367,1,0
E:1/1,E:1/1,389,389,0,0,0
G:maj/3,G:maj/3,387,162,223,1,1
D:maj6,D:maj6,387,142,161,78,6
G:maj/5,G:maj/5,361,218,139,2,2
A:sus4(b7),A:sus4(b7),357,137,218,2,0
C:maj(9),C:maj(9),351,266,79,6,0
G:sus4(b7),G:sus4(b7),345,114,228,3,0
G:sus4,G:sus4,338,133,138,63,4
G:min6,G:min6,337,23,227,0,87
F#:hdim7,F#:hdim7,336,30,276,9,21
D:sus4,D:sus4,333,174,136,23,0
G:maj(9),G:maj(9),331,303,28,0,0
D:9,D:9,325,13,255,15,42
Db:min7,Db:min7,319,91,119,0,109
F:min9,F:min9,319,91,214,0,14
E:7(#9),E:7(#9),316,165,148,3,0
F:min6,F:min6,312,11,248,20,33
Bb:maj/3,Bb:maj/3,309,96,213,0,0
D:sus4(b7),D:sus4(b7),302,112,180,10,0
A:1/1,A:1/1,301,301,0,0,0
C#:7,C#:7,299,108,164,17,10
C:5,C:5,298,298,0,0,0
C:maj9,C:maj9,297,117,179,1,0
A:maj/3,A:maj/3,291,205,86,0,0
D:min6,D:min6,288,47,152,15,74
C:7(#9),C:7(#9),284,132,152,0,0
C:maj/3,C:maj/3,281,189,90,1,1
Ab:7(#9),Ab:7(#9),280,274,6,0,0
E:9,E:9,277,82,159,35,1
Bb:maj/5,Bb:maj/5,275,180,93,0,2
A:min9,A:min9,274,61,201,5,7
Ab:min,Ab:min,273,113,120,33,7
D:1/1,D:1/1,259,259,0,0,0
B:sus4(b7),B:sus4(b7),256,127,129,0,0
C#:maj,C#:maj,254,177,77,0,0
Bb:sus4(b7),Bb:sus4(b7),254,41,213,0,0
A:maj(9),A:maj(9),251,119,131,1,0
C:9,C:9,250,14,192,18,26
D#:min,D#:min,250,140,100,10,0
F:sus4(b7),F:sus4(b7),249,65,184,0,0
C:hdim7,C:hdim7,249,19,166,0,64
A:9,A:9,248,39,197,9,3
Eb,Eb:maj,248,0,0,248,0
B:dim7,B:dim7,245,0,196,14,35
E:maj/5,E:maj/5,244,162,80,0,2
Eb:7(#9),Eb:7(#9),244,183,61,0,0
F#:min9,F#:min9,244,17,222,5,0
B:7(b9),B:7(b9),242,18,224,0,0
A:maj6,A:maj6,241,128,90,21,2
C:sus4(b7),C:sus4(b7),241,85,152,4,0
G:min9,G:min9,239,26,186,8,19
D:maj9,D:maj9,235,41,169,25,0
Ab,Ab:maj,235,0,0,235,0
B:sus4,B:sus4,234,80,77,3,74
C:min6,C:min6,233,2,183,3,45
C#:min9,C#:min9,232,129,103,0,0
F:maj(9),F:maj(9),230,197,25,8,0
Eb:maj9,Eb:maj9,230,63,167,0,0
A:sus4,A:sus4,229,109,87,33,0
Db:maj6,Db:maj6,229,67,82,1,79
E:dim7,E:dim7,222,18,164,0,40
Bb:min6,Bb:min6,221,17,137,0,67
B:1/1,B:1/1,219,219,0,0,0
Ab:maj/3,Ab:maj/3,218,140,75,0,3
D:min/b3,D:min/b3,216,134,54,28,0
F:5,F:5,215,215,0,0,0
F:7(b9),F:7(b9),214,21,191,2,0
D:min/5,D:min/5,210,181,8,21,0
F:sus4,F:sus4,210,153,50,0,7
D/5,D:maj/5,206,0,0,206,0
F#:5,F#:5,203,203,0,0,0
F:maj9,F:maj9,202,79,122,1,0
Ab:dim7,Ab:dim7,200,0,175,0,25
E:sus4,E:sus4,199,47,148,4,0
"A:9(11,13)","A:9(11,13)",194,0,194,0,0
D:maj(9),D:maj(9),193,102,84,7,0
F#,F#:maj,193,0,0,193,0
F:hdim7,F:hdim7,191,12,104,0,75
G:maj(9)/9,G:maj(9)/9,191,0,191,0,0
E:(5),E:5,191,0,191,0,0
Eb:min9,Eb:min9,190,69,97,0,24
B:9,B:9,188,41,121,23,3
"D:sus4(b7,9)","D:sus4(b7,9)",188,109,79,0,0
E:sus4(b7),E:sus4(b7),185,83,94,8,0
A:min7/b7,A:min7/b7,184,49,135,0,0
"G:sus4(b7,9)","G:sus4(b7,9)",180,139,41,0,0
Eb:maj/5,Eb:maj/5,179,123,54,0,2
Ab:1/1,Ab:1/1,178,178,0,0,0
Db:maj/5,Db:maj/5,177,145,28,0,4
D:min7/b7,D:min7/b7,177,27,132,16,2
Gb:maj6,Gb:maj6,172,74,98,0,0
G:1/1,G:1/1,171,171,0,0,0
F#:dim7,F#:dim7,170,3,157,0,10
C#:1/1,C#:1/1,167,167,0,0,0
D:7(#9),D:7(#9),167,20,117,30,0
Eb:9,Eb:9,166,24,103,8,31
Bb:sus4,Bb:sus4,165,48,66,1,50
E:5,E:5,164,164,0,0,0
D:min9,D:min9,164,37,111,8,8
Ab:maj/5,Ab:maj/5,163,94,69,0,0
A:11,A:11,163,163,0,0,0
G:9,G:9,162,36,93,17,16
"A:9(b13,11)","A:9(b13,11)",162,0,162,0,0
A:min/b7,A:min/b7,161,134,0,23,4
A:min6,A:min6,159,30,122,3,4
B:5,B:5,158,158,0,0,0
Gb:min7,Gb:min7,157,2,90,0,65
G#:7,G#:7,152,40,103,7,2
F:9,F:9,151,38,90,7,16
B:min9,B:min9,151,24,127,0,0
"Bb:9(11,13)","Bb:9(11,13)",151,0,151,0,0
D:maj/2,D:maj/2,150,147,0,3,0
Bb:9(#11),Bb:9(#11),148,0,148,0,0
Eb:sus4,Eb:sus4,147,91,53,2,1
D#:min7,D#:min7,146,50,92,0,4
C:min9,C:min9,144,40,92,2,10
"B:9(11,13)","B:9(11,13)",143,0,143,0,0
Cb:maj,B:maj,142,70,72,0,0
Eb:dim7,Eb:dim7,142,0,137,0,5
Bb:1/1,Bb:1/1,141,141,0,0,0
E:maj6,E:maj6,140,42,76,22,0
F:7(#9),F:7(#9),140,84,56,0,0
"G:9(11,13)","G:9(11,13)",139,0,139,0,0
"E:sus4(b7,9)","E:sus4(b7,9)",137,113,24,0,0
"F:sus4(b7,9)","F:sus4(b7,9)",135,89,46,0,0
G:aug(b7),G:aug(b7),134,7,127,0,0
A:min/4,A:min/4,134,132,0,2,0
C:maj/4,C:maj/4,134,133,0,0,1
Eb:maj/3,Eb:maj/3,133,40,84,0,9
C#:dim7,C#:dim7,133,8,121,0,4
Eb:min6,Eb:min6,133,6,99,0,28
D:min9(11),D:min9(11),133,0,133,0,0
C:maj/2,C:maj/2,132,132,0,0,0
Bb:7(b9),Bb:7(b9),132,15,117,0,0
"D:(3,5,b7,b9)",D:7(b9),132,0,0,0,132
C:1/1,C:1/1,131,131,0,0,0
F:min7/5,F:min7/5,131,99,32,0,0
Db,Db:maj,130,0,0,130,0
F#:sus4(b7),F#:sus4(b7),129,63,65,1,0
C:7/3,C:7/3,128,39,73,9,7
C:min7/b7,C:min7/b7,128,0,122,0,6
Ab:min6,Ab:min6,127,20,102,0,5
Bb:9,Bb:9,127,20,95,0,12
A:min/6,A:min/6,127,113,0,14,0
F:maj(9)/9,F:maj(9)/9,127,0,120,7,0
Ab:sus4(b7),Ab:sus4(b7),126,37,89,0,0
"A:sus4(b7,9)","A:sus4(b7,9)",126,109,17,0,0
A:min/b3,A:min/b3,126,50,43,33,0
D#:7,D#:7,126,23,76,4,23
Db:9(#11),Db:9(#11),126,0,126,0,0
"F:9(11,13)","F:9(11,13)",126,0,126,0,0
"C:(3,5,b7,b9)",C:7(b9),126,0,0,0,126
Eb:13,Eb:13,125,125,0,0,0
X,X,124,124,0,0,0
E:aug(b7),E:aug(b7),124,86,38,0,0
"Eb:sus4(b7,9)","Eb:sus4(b7,9)",123,54,69,0,0
Bb:maj9,Bb:maj9,123,40,75,0,8
"G:9(b13,11)","G:9(b13,11)",122,0,122,0,0
G#:maj,G#:maj,120,107,13,0,0
Db:maj(9),Db:maj(9),119,84,35,0,0
"Ab:sus4(b7,9)","Ab:sus4(b7,9)",119,103,16,0,0
E:min7/b7,E:min7/b7,119,0,102,17,0
C:maj6(9),C:maj6(9),118,31,87,0,0
Ab:9,Ab:9,117,54,36,0,27
G:maj/2,G:maj/2,117,117,0,0,0
D:7/b7,D:7/b7,116,23,93,0,0
Db:9,Db:9,116,3,107,0,6
F:maj/2,F:maj/2,115,115,0,0,0
Ab:9(#11),Ab:9(#11),115,0,115,0,0
G/3,G:maj/3,115,0,0,115,0
A:maj/2,A:maj/2,114,114,0,0,0
Ab:maj(9)/9,Ab:maj(9)/9,114,0,114,0,0
C#:hdim7,C#:hdim7,113,7,98,8,0
F#:sus4,F#:sus4,112,39,21,52,0
B:maj6,B:maj6,111,34,71,6,0
Db:dim7,Db:dim7,111,0,74,0,37
A:maj9,A:maj9,110,88,22,0,0
Bb:maj/2,Bb:maj/2,110,110,0,0,0
A:7(#9),A:7(#9),108,8,93,7,0
D:maj(9)/9,D:maj(9)/9,107,0,107,0,0
F#:1/1,F#:1/1,106,106,0,0,0
F:min/5,F:min/5,106,31,31,32,12
"F#:sus4(b7,9)","F#:sus4(b7,9)",106,102,4,0,0
G:maj9,G:maj9,106,75,30,1,0
Eb:7(b9),Eb:7(b9),106,0,106,0,0
F:dim7,F:dim7,106,0,96,0,10
B:min/b7,B:min/b7,105,99,0,6,0
E:maj/b7,E:maj/b7,105,105,0,0,0
Gb:dim7,Gb:dim7,105,0,99,0,6
Bb:maj9(#11),Bb:maj9(#11),105,0,105,0,0
Eb:sus4(b7),Eb:sus4(b7),104,27,77,0,0
G:7/3,G:7/3,104,16,85,2,1
Bb:7/5,Bb:7/5,104,69,35,0,0
C:min9(11),C:min9(11),104,0,104,0,0
Ab:maj(9),Ab:maj(9),103,59,41,3,0
B:9(#11),B:9(#11),103,0,103,0,0
E:7/b7,E:7/b7,102,20,80,2,0
E:min/b3,E:min/b3,100,57,22,21,0
G:dim7,G:dim7,100,18,73,4,5
Eb:maj6(9),Eb:maj6(9),100,8,92,0,0
G:9(#11),G:9(#11),99,0,99,0,0
E:min/b7,E:min/b7,98,78,0,20,0
A:dim7,A:dim7,98,1,83,9,5
Bb:min9,Bb:min9,97,47,39,0,11
A:7/3,A:7/3,96,12,75,9,0
"Bb:sus4(b7,9)","Bb:sus4(b7,9)",96,72,24,0,0
E:maj9,E:maj9,96,10,86,0,0
Bb:maj(9)/9,Bb:maj(9)/9,96,0,85,11,0
A/3,A:maj/3,96,0,0,96,0
D:maj/b7,D:maj/b7,95,91,0,0,4
Bb:dim7,Bb:dim7,95,0,88,0,7
Eb:maj(9),Eb:maj(9),94,24,70,0,0
C:9(#11),C:9(#11),94,3,91,0,0
G#:hdim7,G#:hdim7,93,8,60,11,14
Eb:9(#11),Eb:9(#11),93,0,93,0,0
F:(5),F:5,93,0,93,0,0
Bb:aug(b7),Bb:aug(b7),92,7,85,0,0
A:5(b7),A:5(b7),92,92,0,0,0
"Bb:(2,5)",Bb:sus2,92,0,92,0,0
Db:maj/3,Db:maj/3,91,34,56,0,1
G:min/5,G:min/5,91,37,20,34,0
"C:9(b13,11)","C:9(b13,11)",91,0,91,0,0
G:(5),G:5,90,0,90,0,0
D:maj6(9),D:maj6(9),89,10,79,0,0
"B:sus4(b7,9)","B:sus4(b7,9)",88,81,7,0,0
"D:9(b13,11)","D:9(b13,11)",88,0,88,0,0
C:maj(9)/9,C:maj(9)/9,88,0,88,0,0
"Eb:(3,5,7,9,#11)","Eb:maj7(9,#11)",88,0,0,0,88
B:min7/b7,B:min7/b7,86,41,45,0,0
F:aug(b7),F:aug(b7),86,0,86,0,0
C/5,C:maj/5,86,0,0,86,0
B:maj/5,B:maj/5,85,55,30,0,0
E:maj(4)/4,E:maj(4)/4,85,0,85,0,0
"C:sus4(b7,9)","C:sus4(b7,9)",84,65,19,0,0
C:aug(b7),C:aug(b7),83,4,79,0,0
G:min7/b7,G:min7/b7,83,1,82,0,0
A:maj/4,A:maj/4,82,82,0,0,0
Ab:maj9,Ab:maj9,82,11,57,4,10
Eb:min11,Eb:min11,82,82,0,0,0
G:7/b7,G:7/b7,82,15,67,0,0
F:min7/b7,F:min7/b7,82,0,82,0,0
Bb:hdim7,Bb:hdim7,81,3,61,0,17
"E:(3,b5,b7,b9,b13)","E:7(b9,b13,#11)",81,0,44,0,37
Eb:1/1,Eb:1/1,80,80,0,0,0
D:7/3,D:7/3,80,25,50,0,5
E:min/5,E:min/5,79,20,24,35,0
B:maj9,B:maj9,79,64,15,0,0
Fb:maj,E:maj,79,79,0,0,0
E:min9(11),E:min9(11),77,0,77,0,0
G:min/b3,G:min/b3,76,21,40,15,0
Ab:min7/b7,Ab:min7/b7,76,0,76,0,0
"F:(4,5,b7,9,11,13)","F:sus4(9,11,13)",76,0,0,0,76
F#:dim,F#:dim,75,24,14,21,16
F:1/1,F:1/1,75,75,0,0,0
Gb:maj9(#11),Gb:maj9(#11),75,2,73,0,0
E:maj9(#11),E:maj9(#11),75,0,75,0,0
E:7/3,E:7/3,74,23,47,4,0
E:maj6(9),E:maj6(9),74,42,32,0,0
G#:dim7,G#:dim7,74,0,70,1,3
C#,C#:maj,74,0,0,74,0
Bb:5,Bb:5,73,73,0,0,0
Ab:min9,Ab:min9,73,45,26,0,2
F:9(#11),F:9(#11),73,1,72,0,0
D:9(#11),D:9(#11),73,0,73,0,0
D:aug(b7),D:aug(b7),73,0,73,0,0
E:min7(4)/4,E:min7(4)/4,73,0,73,0,0
"G:(3,5,b7,b9)",G:7(b9),73,0,0,0,73
C:min/b3,C:min/b3,72,42,28,2,0
A:sus2,A:sus2,71,58,0,13,0
Db:min9,Db:min9,71,40,31,0,0
"Gb:9(11,13)","Gb:9(11,13)",71,0,71,0,0
Bb:(5),Bb:5,71,0,71,0,0
Db:(5),Db:5,71,0,71,0,0
"F:(4,5,b7)",F:sus4,71,0,0,0,71
D:maj/7,D:maj/7,70,70,0,0,0
E:maj(9),E:maj(9),70,0,70,0,0
B:maj(bb6)/bb6,B:maj(bb6)/bb6,70,0,70,0,0
Db:maj/2,Db:maj/2,69,69,0,0,0
C:7/b7,C:7/b7,69,9,58,2,0
C:maj9(#11),C:maj9(#11),69,3,66,0,0
E:maj/2,E:maj/2,68,68,0,0,0
C#:7(#9),C#:7(#9),68,7,61,0,0
F#:7(b9),F#:7(b9),68,0,68,0,0
D/3,D:maj/3,68,0,0,68,0
Gb:maj/5,Gb:maj/5,66,54,12,0,0
B:dim,B:dim,66,10,12,12,32
E:5(b7),E:5(b7),66,66,0,0,0
F:maj9(#11),F:maj9(#11),66,0,66,0,0
Gb:1/1,Gb:1/1,65,65,0,0,0
A:7/b7,A:7/b7,64,12,36,16,0
Cb:maj7,B:maj7,64,18,8,0,38
F#:aug(b7),F#:aug(b7),64,32,32,0,0
B:min/4,B:min/4,64,61,0,3,0
A:13,A:13,64,64,0,0,0
"E:9(b13,11)","E:9(b13,11)",64,0,64,0,0
"E:sus4(b7,13,11,9)","E:sus4(b7,13,11,9)",64,0,64,0,0
"G:(3,#5,b7)",G:aug,64,0,0,0,64
D:dim,D:dim,63,17,4,5,37
Db:maj9(#11),Db:maj9(#11),63,1,62,0,0
A:maj(9)/9,A:maj(9)/9,63,0,63,0,0
Gb:maj(9)/9,Gb:maj(9)/9,63,0,63,0,0
G/5,G:maj/5,63,0,0,63,0
Bb:maj6(9),Bb:maj6(9),62,44,18,0,0
E:min7/b3,E:min7/b3,62,6,49,7,0
"D:9(11,13)","D:9(11,13)",62,0,62,0,0
B:min9(11),B:min9(11),62,0,62,0,0
F:min9(11),F:min9(11),62,0,62,0,0
Ab:maj/2,Ab:maj/2,61,61,0,0,0
D:7/5,D:7/5,61,15,40,6,0
"Bb:(3,5,b7,b9)",Bb:7(b9),61,0,0,0,61
F:min/b3,F:min/b3,60,14,19,18,9
Db:maj6(9),Db:maj6(9),60,40,20,0,0
Bb:minmaj7,Bb:minmaj7,59,2,57,0,0
Bb:maj(9),Bb:maj(9),59,49,8,2,0
F:maj7/3,F:maj7/3,59,25,26,0,8
G:7(#9),G:7(#9),59,3,56,0,0
B:7(#9),B:7(#9),59,6,51,2,0
F#:maj/3,F#:maj/3,58,29,29,0,0
F:7/3,F:7/3,58,11,44,0,3
B:maj/3,B:maj/3,58,10,48,0,0
F#:maj6,F#:maj6,58,55,3,0,0
Gb:maj/2,Gb:maj/2,57,57,0,0,0
D:min7/5,D:min7/5,57,47,10,0,0
Gb:9(#11),Gb:9(#11),57,0,57,0,0
E:dim,E:dim,56,6,11,3,36
G#:maj/5,G#:maj/5,56,56,0,0,0
A:aug(b7),A:aug(b7),56,0,56,0,0
E:minmaj7(9),E:minmaj7(9),56,0,56,0,0
C:minmaj7,C:minmaj7,55,4,51,0,0
Ab:sus4,Ab:sus4,55,22,26,0,7
G:dim,G:dim,55,10,7,11,27
Gb:maj/3,Gb:maj/3,55,24,30,0,1
D:maj/4,D:maj/4,55,55,0,0,0
Eb:maj9(#11),Eb:maj9(#11),55,0,55,0,0
G:maj(4)/4,G:maj(4)/4,55,0,55,0,0
A:(5),A:5,55,0,55,0,0
Db:sus4(b7),Db:sus4(b7),54,29,25,0,0
Bb:dim,Bb:dim,54,15,9,4,26
Bb:maj7/7,Bb:maj7/7,54,27,27,0,0
Gb:min,Gb:min,54,32,14,3,5
Db:maj9,Db:maj9,54,21,32,1,0
A:maj7/7,A:maj7/7,54,19,35,0,0
D:(5),D:5,54,0,54,0,0
F:7/b7,F:7/b7,53,3,41,2,7
A:7/5,A:7/5,53,21,26,6,0
Bb:7(#9),Bb:7(#9),53,19,34,0,0
Ab:maj7/7,Ab:maj7/7,53,3,50,0,0
F:minmaj7,F:minmaj7,53,2,35,0,16
F#:maj7,F#:maj7,53,0,50,0,3
F#:min/b7,F#:min/b7,52,52,0,0,0
Eb:min/b3,Eb:min/b3,52,18,34,0,0
B:maj9(#11),B:maj9(#11),52,0,52,0,0
D:dim7,D:dim7,52,0,47,5,0
G:min6/5,G:min6/5,52,0,52,0,0
F#:(5),F#:5,52,0,52,0,0
C/3,C:maj/3,52,0,0,52,0
F#:min/4,F#:min/4,51,51,0,0,0
C:7/5,C:7/5,51,14,34,3,0
B:min/5,B:min/5,51,27,8,16,0
C:dim7,C:dim7,51,0,49,2,0
A:9(#11),A:9(#11),51,0,51,0,0
"Ab:9(11,13)","Ab:9(11,13)",51,0,51,0,0
A:minmaj7,A:minmaj7,50,3,47,0,0
A:dim,A:dim,50,17,8,3,22
D:min11,D:min11,50,50,0,0,0
Ab:maj9(#11),Ab:maj9(#11),50,0,50,0,0
Eb:maj(9)/9,Eb:maj(9)/9,50,0,50,0,0
G:sus4(9),G:sus4(9),49,49,0,0,0
Eb:minmaj7,Eb:minmaj7,49,2,38,0,9
Ab:11,Ab:11,49,49,0,0,0
Eb:min/b7,Eb:min/b7,49,49,0,0,0
B:maj(9),B:maj(9),49,8,41,0,0
G:maj/b7,G:maj/b7,48,48,0,0,0
Gb:maj9,Gb:maj9,48,14,20,0,14
A:min7/6,A:min7/6,48,48,0,0,0
G:min9(11),G:min9(11),48,0,48,0,0
"Bb:9(b13,11)","Bb:9(b13,11)",48,0,48,0,0
"A:(3,5,b7,b9)",A:7(b9),48,0,0,0,48
B:7/5,B:7/5,47,21,26,0,0
F:7/5,F:7/5,47,10,34,0,3
A:min(11),A:min(11),47,47,0,0,0
D:min6/5,D:min6/5,47,47,0,0,0
Db:7(#9),Db:7(#9),47,0,47,0,0
F:maj7/5,F:maj7/5,47,0,47,0,0
C#:min7/b7,C#:min7/b7,47,0,47,0,0
Bb/3,Bb:maj/3,47,0,0,47,0
E:min7(11),E:min7(11),46,46,0,0,0
Db:maj6/5,Db:maj6/5,46,40,6,0,0
C#:7(b9),C#:7(b9),46,3,43,0,0
F#:min/b3,F#:min/b3,46,35,10,1,0
C:maj7/5,C:maj7/5,46,0,46,0,0
B:min7(4)/4,B:min7(4)/4,46,0,46,0,0
G:7/5,G:7/5,45,17,27,0,1
C:min/5,C:min/5,45,5,28,12,0
G:minmaj7,G:minmaj7,45,1,37,2,5
E:min6,E:min6,45,10,29,6,0
C:aug,C:aug,45,3,31,11,0
Bb:sus2,Bb:sus2,45,44,0,1,0
Eb:7/b7,Eb:7/b7,45,16,26,3,0
"A:(3,b5,b7,b9,b13)","A:7(b9,b13,#11)",45,0,31,0,14
G#:min7/b3,G#:min7/b3,45,0,44,1,0
C:(5),C:5,45,0,45,0,0
Eb:(5),Eb:5,45,0,45,0,0
E/5,E:maj/5,45,0,0,45,0
C#:dim,C#:dim,44,16,15,11,2
F:aug,F:aug,44,6,31,7,0
A:min(9),A:min(9),44,42,0,2,0
F:min7(4)/4,F:min7(4)/4,44,0,44,0,0
C:min7(4)/4,C:min7(4)/4,44,0,44,0,0
"C:sus4(b7,13,11,9)","C:sus4(b7,13,11,9)",44,0,44,0,0
D#:7/5,D#:7/5,44,0,44,0,0
D:(5)/9,D:5/9,44,0,44,0,0
G#,G#:maj,44,0,0,44,0
Bb:7/3,Bb:7/3,43,5,34,4,0
F:min7/b3,F:min7/b3,43,16,20,1,6
F/3,F:maj/3,43,0,0,43,0
Gb,Gb:maj,43,0,0,43,0
Eb/3,Eb:maj/3,43,0,0,43,0
G:11,G:11,42,42,0,0,0
Bb:maj/b7,Bb:maj/b7,42,41,0,0,1
D:min7/b3,D:min7/b3,42,25,13,1,3
Eb:dim,Eb:dim,42,10,2,6,24
Cb:maj(9),B:maj(9),42,42,0,0,0
B:aug(b7),B:aug(b7),42,0,42,0,0
"B:aug(b7,#9)","B:aug(b7,#9)",42,0,42,0,0
Eb:maj6/6,Eb:maj6/6,42,0,42,0,0
C:min(b6)/b6,C:min(b6)/b6,42,0,42,0,0
F:dim,F:dim,41,11,1,14,15
Db:min,Db:min,41,28,7,2,4
Ab:7(b9),Ab:7(b9),41,4,37,0,0
"Eb:9(11,13)","Eb:9(11,13)",41,0,41,0,0
"E:9(11,13)","E:9(11,13)",41,0,41,0,0
D:min7(4)/4,D:min7(4)/4,41,0,41,0,0
G/2,G:maj/2,41,0,0,41,0
C:sus2/2,C:sus2/2,40,40,0,0,0
Db:dim,Db:dim,40,19,1,4,16
E:maj/4,E:maj/4,40,40,0,0,0
Eb:maj/4,Eb:maj/4,40,40,0,0,0
Eb:maj7/5,Eb:maj7/5,40,2,38,0,0
Ab:hdim7,Ab:hdim7,40,3,23,0,14
D#:dim7,D#:dim7,40,0,31,9,0
D:maj9/9,D:maj9/9,40,0,40,0,0
B:maj/b7,B:maj/b7,39,39,0,0,0
F#:min11,F#:min11,39,39,0,0,0
Bb:maj6/5,Bb:maj6/5,39,24,15,0,0
D:maj7/2,D:maj7/2,39,39,0,0,0
D:minmaj7,D:minmaj7,39,7,30,0,2
A:maj/b7,A:maj/b7,39,38,0,0,1
Ab:7/5,Ab:7/5,39,6,31,2,0
G#:min9,G#:min9,39,10,29,0,0
E:maj(b3)/b3,E:maj(b3)/b3,39,0,39,0,0
Eb:min9(11),Eb:min9(11),39,0,39,0,0
"F#:9(b13,11)","F#:9(b13,11)",39,0,39,0,0
E:maj(9)/9,E:maj(9)/9,39,0,39,0,0
C/7,C:maj/7,39,0,0,39,0
A:min/5,A:min/5,38,12,20,6,0
D:sus2,D:sus2,38,38,0,0,0
C:maj9/3,C:maj9/3,38,38,0,0,0
F:maj6(9),F:maj6(9),38,11,27,0,0
