Chord,Total_Count,billboard,ireal-pro,isophonics,weimar-jazz
Ab:maj/5,163,94,69,0,0
A:11,163,163,0,0,0
G:9,162,36,93,17,16
"A:9(b13,11)",162,0,162,0,0
A:min/b7,161,134,0,23,4
A:min6,159,30,122,3,4
B:5,158,158,0,0,0
Gb:min7,157,2,90,0,65
G#:7,152,40,103,7,2
F:9,151,38,90,7,16
B:min9,151,24,127,0,0
"Bb:9(11,13)",151,0,151,0,0
D:maj/2,150,147,0,3,0
Bb:9(#11),148,0,148,0,0
Eb:sus4,147,91,53,2,1
D#:min7,146,50,92,0,4
C:min9,144,40,92,2,10
"B:9(11,13)",143,0,143,0,0
Cb:maj,142,70,72,0,0
Eb:dim7,142,0,137,0,5
Bb:1/1,141,141,0,0,0
E:maj6,140,42,76,22,0
F:7(#9),140,84,56,0,0
"G:9(11,13)",139,0,139,0,0
"E:sus4(b7,9)",137,113,24,0,0
"F:sus4(b7,9)",135,89,46,0,0
G:aug(b7),134,7,127,0,0
A:min/4,134,132,0,2,0
C:maj/4,134,133,0,0,1
Eb:maj/3,133,40,84,0,9
C#:dim7,133,8,121,0,4
Eb:min6,133,6,99,0,28
D:min9(11),133,0,133,0,0
C:maj/2,132,132,0,0,0
Bb:7(b9),132,15,117,0,0
"D:(3,5,b7,b9)",132,0,0,0,132
C:1/1,131,131,0,0,0
F:min7/5,131,99,32,0,0
Db,130,0,0,130,0
F#:sus4(b7),129,63,65,1,0
C:7/3,128,39,73,9,7
C:min7/b7,128,0,122,0,6
Ab:min6,127,20,102,0,5
Bb:9,127,20,95,0,12
A:min/6,127,113,0,14,0
F:maj(9)/9,127,0,120,7,0
Ab:sus4(b7),126,37,89,0,0
"A:sus4(b7,9)",126,109,17,0,0
A:min/b3,126,50,43,33,0
D#:7,126,23,76,4,23
Db:9(#11),126,0,126,0,0
"F:9(11,13)",126,0,126,0,0
"C:(3,5,b7,b9)",126,0,0,0,126
Eb:13,125,125,0,0,0
X,124,124,0,0,0
E:aug(b7),124,86,38,0,0
"Eb:sus4(b7,9)",123,54,69,0,0
Bb:maj9,123,40,75,0,8
"G:9(b13,11)",122,0,122,0,0
G#:maj,120,107,13,0,0
Db:maj(9),119,84,35,0,0
"Ab:sus4(b7,9)",119,103,16,0,0
E:min7/b7,119,0,102,17,0
C:maj6(9),118,31,87,0,0
Ab:9,117,54,36,0,27
G:maj/2,117,117,0,0,0
D:7/b7,116,23,93,0,0
Db:9,116,3,107,0,6
F:maj/2,115,115,0,0,0
Ab:9(#11),115,0,115,0,0
G/3,115,0,0,115,0
A:maj/2,114,114,0,0,0
Ab:maj(9)/9,114,0,114,0,0
C#:hdim7,113,7,98,8,0
F#:sus4,112,39,21,52,0
B:maj6,111,34,71,6,0
Db:dim7,111,0,74,0,37
A:maj9,110,88,22,0,0
Bb:maj/2,110,110,0,0,0
A:7(#9),108,8,93,7,0
D:maj(9)/9,107,0,107,0,0
F#:1/1,106,106,0,0,0
F:min/5,106,31,31,32,12
"F#:sus4(b7,9)",106,102,4,0,0
G:maj9,106,75,30,1,0
Eb:7(b9),106,0,106,0,0
F:dim7,106,0,96,0,10
B:min/b7,105,99,0,6,0
E:maj/b7,105,105,0,0,0
Gb:dim7,105,0,99,0,6
Bb:maj9(#11),105,0,105,0,0
Eb:sus4(b7),104,27,77,0,0
G:7/3,104,16,85,2,1
Bb:7/5,104,69,35,0,0
C:min9(11),104,0,104,0,0
Ab:maj(9),103,59,41,3,0
B:9(#11),103,0,103,0,0
E:7/b7,102,20,80,2,0
E:min/b3,100,57,22,21,0
G:dim7,100,18,73,4,5
Eb:maj6(9),100,8,92,0,0
G:9(#11),99,0,99,0,0
E:min/b7,98,78,0,20,0
A:dim7,98,1,83,9,5
Bb:min9,97,47,39,0,11
A:7/3,96,12,75,9,0
"Bb:sus4(b7,9)",96,72,24,0,0
E:maj9,96,10,86,0,0
Bb:maj(9)/9,96,0,85,11,0
A/3,96,0,0,96,0
D:maj/b7,95,91,0,0,4
Bb:dim7,95,0,88,0,7
Eb:maj(9),94,24,70,0,0
C:9(#11),94,3,91,0,0
G#:hdim7,93,8,60,11,14
Eb:9(#11),93,0,93,0,0
F:(5),93,0,93,0,0
Bb:aug(b7),92,7,85,0,0
A:5(b7),92,92,0,0,0
"Bb:(2,5)",92,0,92,0,0
Db:maj/3,91,34,56,0,1
G:min/5,91,37,20,34,0
"C:9(b13,11)",91,0,91,0,0
G:(5),90,0,90,0,0
D:maj6(9),89,10,79,0,0
"B:sus4(b7,9)",88,81,7,0,0
"D:9(b13,11)",88,0,88,0,0
C:maj(9)/9,88,0,88,0,0
"Eb:(3,5,7,9,#11)",88,0,0,0,88
B:min7/b7,86,41,45,0,0
F:aug(b7),86,0,86,0,0
C/5,86,0,0,86,0
B:maj/5,85,55,30,0,0
E:maj(4)/4,85,0,85,0,0
"C:sus4(b7,9)",84,65,19,0,0
C:aug(b7),83,4,79,0,0
G:min7/b7,83,1,82,0,0
A:maj/4,82,82,0,0,0
Ab:maj9,82,11,57,4,10
Eb:min11,82,82,0,0,0
G:7/b7,82,15,67,0,0
F:min7/b7,82,0,82,0,0
Bb:hdim7,81,3,61,0,17
"E:(3,b5,b7,b9,b13)",81,0,44,0,37
Eb:1/1,80,80,0,0,0
D:7/3,80,25,50,0,5
E:min/5,79,20,24,35,0
B:maj9,79,64,15,0,0
Fb:maj,79,79,0,0,0
E:min9(11),77,0,77,0,0
G:min/b3,76,21,40,15,0
Ab:min7/b7,76,0,76,0,0
"F:(4,5,b7,9,11,13)",76,0,0,0,76
F#:dim,75,24,14,21,16
F:1/1,75,75,0,0,0
Gb:maj9(#11),75,2,73,0,0
E:maj9(#11),75,0,75,0,0
E:7/3,74,23,47,4,0
E:maj6(9),74,42,32,0,0
G#:dim7,74,0,70,1,3
C#,74,0,0,74,0
Bb:5,73,73,0,0,0
Ab:min9,73,45,26,0,2
F:9(#11),73,1,72,0,0
D:9(#11),73,0,73,0,0
D:aug(b7),73,0,73,0,0
E:min7(4)/4,73,0,73,0,0
"G:(3,5,b7,b9)",73,0,0,0,73
C:min/b3,72,42,28,2,0
A:sus2,71,58,0,13,0
Db:min9,71,40,31,0,0
"Gb:9(11,13)",71,0,71,0,0
Bb:(5),71,0,71,0,0
Db:(5),71,0,71,0,0
"F:(4,5,b7)",71,0,0,0,71
D:maj/7,70,70,0,0,0
E:maj(9),70,0,70,0,0
B:maj(bb6)/bb6,70,0,70,0,0
Db:maj/2,69,69,0,0,0
C:7/b7,69,9,58,2,0
C:maj9(#11),69,3,66,0,0
E:maj/2,68,68,0,0,0
C#:7(#9),68,7,61,0,0
F#:7(b9),68,0,68,0,0
D/3,68,0,0,68,0
Gb:maj/5,66,54,12,0,0
B:dim,66,10,12,12,32
E:5(b7),66,66,0,0,0
F:maj9(#11),66,0,66,0,0
Gb:1/1,65,65,0,0,0
A:7/b7,64,12,36,16,0
Cb:maj7,64,18,8,0,38
F#:aug(b7),64,32,32,0,0
B:min/4,64,61,0,3,0
A:13,64,64,0,0,0
"E:9(b13,11)",64,0,64,0,0
"E:sus4(b7,13,11,9)",64,0,64,0,0
"G:(3,#5,b7)",64,0,0,0,64
D:dim,63,17,4,5,37
Db:maj9(#11),63,1,62,0,0
A:maj(9)/9,63,0,63,0,0
Gb:maj(9)/9,63,0,63,0,0
G/5,63,0,0,63,0
Bb:maj6(9),62,44,18,0,0
E:min7/b3,62,6,49,7,0
"D:9(11,13)",62,0,62,0,0
B:min9(11),62,0,62,0,0
F:min9(11),62,0,62,0,0
Ab:maj/2,61,61,0,0,0
D:7/5,61,15,40,6,0
"Bb:(3,5,b7,b9)",61,0,0,0,61
F:min/b3,60,14,19,18,9
Db:maj6(9),60,40,20,0,0
Bb:minmaj7,59,2,57,0,0
Bb:maj(9),59,49,8,2,0
F:maj7/3,59,25,26,0,8
G:7(#9),59,3,56,0,0
B:7(#9),59,6,51,2,0
F#:maj/3,58,29,29,0,0
F:7/3,58,11,44,0,3
B:maj/3,58,10,48,0,0
F#:maj6,58,55,3,0,0
Gb:maj/2,57,57,0,0,0
D:min7/5,57,47,10,0,0
Gb:9(#11),57,0,57,0,0
E:dim,56,6,11,3,36
G#:maj/5,56,56,0,0,0
A:aug(b7),56,0,56,0,0
E:minmaj7(9),56,0,56,0,0
C:minmaj7,55,4,51,0,0
Ab:sus4,55,22,26,0,7
G:dim,55,10,7,11,27
Gb:maj/3,55,24,30,0,1
D:maj/4,55,55,0,0,0
Eb:maj9(#11),55,0,55,0,0
G:maj(4)/4,55,0,55,0,0
A:(5),55,0,55,0,0
Db:sus4(b7),54,29,25,0,0
Bb:dim,54,15,9,4,26
Bb:maj7/7,54,27,27,0,0
Gb:min,54,32,14,3,5
Db:maj9,54,21,32,1,0
A:maj7/7,54,19,35,0,0
D:(5),54,0,54,0,0
F:7/b7,53,3,41,2,7
A:7/5,53,21,26,6,0
Bb:7(#9),53,19,34,0,0
Ab:maj7/7,53,3,50,0,0
F:minmaj7,53,2,35,0,16
F#:maj7,53,0,50,0,3
F#:min/b7,52,52,0,0,0
Eb:min/b3,52,18,34,0,0
B:maj9(#11),52,0,52,0,0
D:dim7,52,0,47,5,0
G:min6/5,52,0,52,0,0
F#:(5),52,0,52,0,0
C/3,52,0,0,52,0
F#:min/4,51,51,0,0,0
C:7/5,51,14,34,3,0
B:min/5,51,27,8,16,0
C:dim7,51,0,49,2,0
A:9(#11),51,0,51,0,0
"Ab:9(11,13)",51,0,51,0,0
A:minmaj7,50,3,47,0,0
A:dim,50,17,8,3,22
D:min11,50,50,0,0,0
Ab:maj9(#11),50,0,50,0,0
Eb:maj(9)/9,50,0,50,0,0
G:sus4(9),49,49,0,0,0
Eb:minmaj7,49,2,38,0,9
Ab:11,49,49,0,0,0
Eb:min/b7,49,49,0,0,0
B:maj(9),49,8,41,0,0
G:maj/b7,48,48,0,0,0
Gb:maj9,48,14,20,0,14
A:min7/6,48,48,0,0,0
G:min9(11),48,0,48,0,0
"Bb:9(b13,11)",48,0,48,0,0
"A:(3,5,b7,b9)",48,0,0,0,48
B:7/5,47,21,26,0,0
F:7/5,47,10,34,0,3
A:min(11),47,47,0,0,0
D:min6/5,47,47,0,0,0
Db:7(#9),47,0,47,0,0
F:maj7/5,47,0,47,0,0
C#:min7/b7,47,0,47,0,0
Bb/3,47,0,0,47,0
E:min7(11),46,46,0,0,0
Db:maj6/5,46,40,6,0,0
C#:7(b9),46,3,43,0,0
F#:min/b3,46,35,10,1,0
C:maj7/5,46,0,46,0,0
B:min7(4)/4,46,0,46,0,0
G:7/5,45,17,27,0,1
C:min/5,45,5,28,12,0
G:minmaj7,45,1,37,2,5
E:min6,45,10,29,6,0
C:aug,45,3,31,11,0
Bb:sus2,45,44,0,1,0
Eb:7/b7,45,16,26,3,0
"A:(3,b5,b7,b9,b13)",45,0,31,0,14
G#:min7/b3,45,0,44,1,0
C:(5),45,0,45,0,0
Eb:(5),45,0,45,0,0
E/5,45,0,0,45,0
C#:dim,44,16,15,11,2
F:aug,44,6,31,7,0
A:min(9),44,42,0,2,0
F:min7(4)/4,44,0,44,0,0
C:min7(4)/4,44,0,44,0,0
"C:sus4(b7,13,11,9)",44,0,44,0,0
D#:7/5,44,0,44,0,0
D:(5)/9,44,0,44,0,0
G#,44,0,0,44,0
Bb:7/3,43,5,34,4,0
F:min7/b3,43,16,20,1,6
F/3,43,0,0,43,0
Gb,43,0,0,43,0
Eb/3,43,0,0,43,0
G:11,42,42,0,0,0
Bb:maj/b7,42,41,0,0,1
D:min7/b3,42,25,13,1,3
Eb:dim,42,10,2,6,24
Cb:maj(9),42,42,0,0,0
B:aug(b7),42,0,42,0,0
"B:aug(b7,#9)",42,0,42,0,0
Eb:maj6/6,42,0,42,0,0
C:min(b6)/b6,42,0,42,0,0
F:dim,41,11,1,14,15
Db:min,41,28,7,2,4
Ab:7(b9),41,4,37,0,0
"Eb:9(11,13)",41,0,41,0,0
"E:9(11,13)",41,0,41,0,0
D:min7(4)/4,41,0,41,0,0
G/2,41,0,0,41,0
C:sus2/2,40,40,0,0,0
Db:dim,40,19,1,4,16
E:maj/4,40,40,0,0,0
Eb:maj/4,40,40,0,0,0
Eb:maj7/5,40,2,38,0,0
Ab:hdim7,40,3,23,0,14
D#:dim7,40,0,31,9,0
D:maj9/9,40,0,40,0,0
B:maj/b7,39,39,0,0,0
F#:min11,39,39,0,0,0
Bb:maj6/5,39,24,15,0,0
D:maj7/2,39,39,0,0,0
D:minmaj7,39,7,30,0,2
A:maj/b7,39,38,0,0,1
Ab:7/5,39,6,31,2,0
G#:min9,39,10,29,0,0
E:maj(b3)/b3,39,0,39,0,0
Eb:min9(11),39,0,39,0,0
"F#:9(b13,11)",39,0,39,0,0
E:maj(9)/9,39,0,39,0,0
C/7,39,0,0,39,0
A:min/5,38,12,20,6,0
D:sus2,38,38,0,0,0
C:maj9/3,38,38,0,0,0
F:maj6(9),38,11,27,0,0
Db:maj(4)/4,38,0,38,0,0
"E:(2,5)",38,0,38,0,0
Eb:5,37,37,0,0,0
Bb:maj7/3,37,2,35,0,0
Ab:13,37,37,0,0,0
B:7/b7,37,8,29,0,0
"G:(3,b5,b7,b9,b13)",37,0,18,0,19
Eb:hdim7,37,0,34,0,3
"C:9(11,13)",37,0,37,0,0
D#:hdim7,37,0,32,5,0
Ab:aug(b7),37,0,37,0,0
G:min7(4)/4,37,0,37,0,0
Db:maj(9)/9,37,0,37,0,0
E:(5)/b9,37,0,37,0,0
D/b7,37,0,0,37,0
F/5,37,0,0,37,0
"Gb:(4,5,b7,9,11,13)",37,0,0,0,37
D:maj/6,36,36,0,0,0
B:maj/4,36,36,0,0,0
Eb:7/5,36,31,5,0,0
E:aug,36,7,12,17,0
C#:min/b7,36,21,0,15,0
F:maj7/7,36,1,35,0,0
G:maj6(9),36,2,33,1,0
A:min7/5,36,20,15,1,0
A:min9(11),36,0,36,0,0
Eb:min(9)/9,36,0,36,0,0
F#:minmaj7(9),36,0,36,0,0
"Eb:(4,5,b7)",36,0,0,0,36
"Bb:(4,5,b7)",36,0,0,0,36
G:maj/4,35,35,0,0,0
B:7/3,35,12,23,0,0
"B:9(b13,11)",35,0,35,0,0
"F:(3,5,b7,b9)",35,0,0,0,35
"F:(3,#5,b7)",35,0,0,0,35
"C:(3,5,b7,#9)",35,0,0,0,35
"G:(3,5,b7,9,11,13)",35,0,0,0,35
"C:(3,5,6,9)",35,0,0,0,35
D:maj7/5,34,2,32,0,0
Gb:maj6(9),34,22,12,0,0
Bb:sus4(9),34,32,0,2,0
Ab:dim,34,2,5,1,26
"Bb:aug(b7,#9)",34,0,34,0,0
"C:sus4(b7,b9)",34,0,34,0,0
A/5,34,0,0,34,0
C:min/b7,33,1,0,1,31
Eb:7/3,33,14,14,5,0
F#:min/5,33,12,6,15,0
G:maj(9)/3,33,16,17,0,0
Bb:maj/7,33,33,0,0,0
A:aug,33,4,5,24,0
A:min7(4)/4,33,0,33,0,0
Bb:7/b7,33,0,32,0,1
Bb:maj7/5,33,0,32,1,0
A#:min7,33,0,32,0,1
A:maj(4)/4,33,0,33,0,0
B/5,33,0,0,33,0
D:maj7/3,32,13,19,0,0
Ab:5,32,32,0,0,0
G:maj(9)/5,32,32,0,0,0
C#:9,32,9,23,0,0
Eb:min/5,32,25,7,0,0
D:11,32,32,0,0,0
E:maj(#9),32,32,0,0,0
Eb:maj7/3,32,0,32,0,0
Ab:maj6/6,32,0,32,0,0
B:maj7/3,32,0,32,0,0
B:maj(9)/9,32,0,32,0,0
E/4,32,0,0,32,0
G:maj7/3,31,3,2,26,0
C#:5,31,31,0,0,0
C#:sus4(b7),31,11,20,0,0
Eb:maj6/5,31,1,28,0,2
E:sus4(9),31,31,0,0,0
F:maj/4,31,31,0,0,0
F:min7/4,31,12,0,0,19
"C:9(13,#11)",31,14,17,0,0
Bb:min(4)/4,31,0,31,0,0
C:maj7/7,31,0,30,1,0
C:min(4)/4,31,0,31,0,0
F#:min9(11),31,0,31,0,0
D:aug,31,0,25,6,0
Ab:min9(11),31,0,31,0,0
A:7(4)/4,31,0,31,0,0
Cb:maj(9)/9,31,0,31,0,0
"C:(3,#5,b7)",31,0,0,0,31
"D:(b3,5,b7,9,11)",31,0,0,0,31
G:13,30,30,0,0,0
F#:maj/2,30,30,0,0,0
C:maj13,30,30,0,0,0
E:maj6/6,30,14,16,0,0
G#:dim,30,9,15,0,6
E:9(#11),30,0,30,0,0
"A:aug(b7,b9)",30,0,30,0,0
"Bb:sus4(b7,13,11,9)",30,0,30,0,0
G#:maj7,30,0,30,0,0
Eb:min(#1)/#1,30,0,30,0,0
Eb:min7/b3,30,0,30,0,0
E/3,30,0,0,30,0
F#:9,29,4,14,11,0
C:dim,29,15,11,0,3
"A:7(b13,b9,11)",29,0,29,0,0
D:min/b7,28,14,0,10,4
D#:dim,28,11,10,4,3
G:maj7/5,28,5,21,2,0
Bb:min/b7,28,26,0,2,0
"E:(b3,b7)/b7",28,28,0,0,0
"E:sus4(b7,9,13)",28,28,0,0,0
F:min6/5,28,17,2,9,0
"C:(3,b5,b7,b9,b13)",28,0,15,0,13
"A:9(13,#11)",28,0,28,0,0
E:(5)/9,28,0,28,0,0
Db:sus4,27,12,15,0,0
Bb:11,27,27,0,0,0
G:min7/2,27,27,0,0,0
C:7/6,27,27,0,0,0
D:min/4,27,4,0,22,1
D#:maj,27,16,11,0,0
Bb:min7/b7,27,3,24,0,0
F:5(b7),27,27,0,0,0
G:maj9(#11),27,0,27,0,0
"A:(3,b5,b7)",27,0,27,0,0
Eb:maj7/7,27,0,27,0,0
E:min6(9),27,0,27,0,0
"F:(3,b5,b7,b9,b13)",27,0,7,0,20
Ab:minmaj7,27,0,27,0,0
"A:(3,5,b7,#9)",27,0,0,0,27
D:5(b7),26,26,0,0,0
A:maj/6,26,26,0,0,0
D:min13,26,26,0,0,0
F#:min7/b7,26,5,21,0,0
Ab:7/3,26,4,22,0,0
A:maj(9)/3,26,20,0,6,0
A:7/4,26,26,0,0,0
Eb:aug,26,10,4,12,0
C:maj7/3,26,0,24,2,0
C#:min9(11),26,0,26,0,0
Eb:min7/5,26,0,26,0,0
Db:sus4/4,26,0,26,0,0
G:maj6/3,25,11,10,4,0
C:maj/b7,25,25,0,0,0
Eb:11,25,25,0,0,0
F:sus2,25,25,0,0,0
E:7/5,25,2,18,5,0
F:9/5,25,25,0,0,0
G:min(b6),25,0,25,0,0
C:maj9/9,25,0,25,0,0
Eb:maj6/3,25,0,23,0,2
"Ab:sus4(b7,13,11,9)",25,0,25,0,0
G:maj6/5,25,0,10,14,1
A:minmaj7/7,25,0,25,0,0
"G:7(11,b9,13)",25,0,25,0,0
Eb:maj(4)/4,25,0,25,0,0
B:maj7/7,25,0,23,0,2
Db:1/1,24,24,0,0,0
A:maj6(9),24,6,18,0,0
A:maj(9)/5,24,1,23,0,0
D:min/2,24,2,0,22,0
"Ab:7(11,b9,13)",24,0,24,0,0
"B:(3,b5,b7,b9,b13)",24,0,23,0,1
Db:7(b9),24,0,24,0,0
"B:7(b13,b9,11)",24,0,24,0,0
Bb/2,24,0,0,24,0
A:sus4/5,23,20,1,2,0
G:min7/4,23,23,0,0,0
Cb:7,23,4,5,0,14
Db:maj(9)/5,23,23,0,0,0
C:maj6/5,23,1,21,1,0
Db:7/3,23,16,7,0,0
F#:min6,23,3,19,1,0
F:maj9/9,23,0,23,0,0
"A:sus4(b7,13,11,9)",23,0,23,0,0
D:maj9(#11),23,0,23,0,0
Db:min6,23,0,20,0,3
F:maj6/6,23,0,23,0,0
C:min6/6,23,0,23,0,0
F#:7(#9),23,0,22,1,0
Bb:9(11),23,0,22,1,0
"E:(3,5,b7,b9)",23,0,0,0,23
"D:(4,5,b7)",23,0,0,0,23
"C#:sus4(b7,9)",22,20,2,0,0
G:min7/5,22,10,11,1,0
Ab:maj/4,22,22,0,0,0
B:min/b3,22,14,1,7,0
Gb:maj7/2,22,22,0,0,0
E:min7/5,22,10,12,0,0
G:aug,22,3,4,15,0
Db:7/b7,22,3,19,0,0
Ab:min11,22,22,0,0,0
"Eb:maj9(13,#11)",22,22,0,0,0
"F:9(b13,11)",22,0,22,0,0
"D:aug(b7,b9)",22,0,22,0,0
"Db:9(11,13)",22,0,22,0,0
A:maj9/9,22,0,22,0,0
A#:min,22,0,22,0,0
Gb:min6,22,0,20,0,2
Eb:maj9/7,22,0,22,0,0
C:(1),22,0,0,22,0
"C:(b3,5,6,9)",22,0,0,0,22
"Bb:(3,#5,b7)",22,0,0,0,22
F:aug/b3,22,0,0,0,22
G#:7(b9),21,8,13,0,0
F:min/b7,21,13,0,6,2
"Db:sus4(b7,9)",21,12,9,0,0
Eb:min(9),21,21,0,0,0
A#:dim7,21,4,17,0,0
Ab:7/b7,21,10,11,0,0
F:maj6/3,21,2,17,0,2
"G:(3,b5,b7)",21,0,21,0,0
A:min(b6),21,0,21,0,0
C:maj9(#11)/3,21,0,21,0,0
Ab:aug,21,0,14,4,3
D:min6/6,21,0,21,0,0
"Ab:(3,5,b7,9,#11)",21,0,0,0,21
